station ID = gr (Granada)
system = KASCAL
signal = 355, parallel, photoncounting, unknown
date of measurement, time, duration of measurement= 07.04.2018, 02UTC, 3600.0 s
location, WMO radiosonde station ID, date of radiosonde = Granada, ecmwf, 07.04.2018, 02UTC
lower and upper Rayleigh height limits = 5, 10
range,attnRayleighBSC,RangeCorrectedSignal
3.2925,4.0135e-06,2.2822e+07
3.3000,4.0074e-06,2.3207e+07
3.3075,4.0012e-06,2.2856e+07
3.3150,3.9951e-06,2.2743e+07
3.3225,3.9890e-06,2.2364e+07
3.3300,3.9828e-06,2.2719e+07
3.3375,3.9767e-06,2.3293e+07
3.3450,3.9706e-06,2.2764e+07
3.3525,3.9646e-06,2.2652e+07
3.3600,3.9585e-06,2.2955e+07
3.3675,3.9524e-06,2.2988e+07
3.3750,3.9464e-06,2.2545e+07
3.3825,3.9404e-06,2.2167e+07
3.3900,3.9343e-06,2.2005e+07
3.3975,3.9283e-06,2.2776e+07
3.4050,3.9223e-06,2.2085e+07
3.4125,3.9163e-06,2.2012e+07
3.4200,3.9103e-06,2.1958e+07
3.4275,3.9044e-06,2.1787e+07
3.4350,3.8984e-06,2.2122e+07
3.4425,3.8925e-06,2.1920e+07
3.4500,3.8865e-06,2.2505e+07
3.4575,3.8806e-06,2.2544e+07
3.4650,3.8747e-06,2.2097e+07
3.4725,3.8688e-06,2.1682e+07
3.4800,3.8629e-06,2.1954e+07
3.4875,3.8570e-06,2.1967e+07
3.4950,3.8511e-06,2.1754e+07
3.5025,3.8453e-06,2.1614e+07
3.5100,3.8394e-06,2.1873e+07
3.5175,3.8336e-06,2.2680e+07
3.5250,3.8277e-06,2.2274e+07
3.5325,3.8219e-06,2.1955e+07
3.5400,3.8161e-06,2.1780e+07
3.5475,3.8103e-06,2.1911e+07
3.5550,3.8045e-06,2.1685e+07
3.5625,3.7987e-06,2.1443e+07
3.5700,3.7930e-06,2.1689e+07
3.5775,3.7872e-06,2.1765e+07
3.5850,3.7815e-06,2.1359e+07
3.5925,3.7757e-06,2.1639e+07
3.6000,3.7700e-06,2.1659e+07
3.6075,3.7643e-06,2.2275e+07
3.6150,3.7586e-06,2.1038e+07
3.6225,3.7529e-06,2.1238e+07
3.6300,3.7472e-06,2.1165e+07
3.6375,3.7415e-06,2.1804e+07
3.6450,3.7358e-06,2.1528e+07
3.6525,3.7302e-06,2.1117e+07
3.6600,3.7245e-06,2.1532e+07
3.6675,3.7189e-06,2.1612e+07
3.6750,3.7133e-06,2.0832e+07
3.6825,3.7077e-06,2.1591e+07
3.6900,3.7021e-06,2.1378e+07
3.6975,3.6965e-06,2.2077e+07
3.7050,3.6909e-06,2.1610e+07
3.7125,3.6853e-06,2.1158e+07
3.7200,3.6797e-06,2.0771e+07
3.7275,3.6742e-06,2.0504e+07
3.7350,3.6686e-06,2.0920e+07
3.7425,3.6631e-06,2.0413e+07
3.7500,3.6576e-06,2.0469e+07
3.7575,3.6521e-06,2.1432e+07
3.7650,3.6466e-06,2.0789e+07
3.7725,3.6411e-06,2.0401e+07
3.7800,3.6356e-06,2.0613e+07
3.7875,3.6301e-06,2.1169e+07
3.7950,3.6246e-06,2.0699e+07
3.8025,3.6192e-06,2.0559e+07
3.8100,3.6137e-06,2.0384e+07
3.8175,3.6083e-06,2.0802e+07
3.8250,3.6029e-06,2.0445e+07
3.8325,3.5975e-06,2.1433e+07
3.8400,3.5921e-06,2.0199e+07
3.8475,3.5867e-06,2.0559e+07
3.8550,3.5813e-06,1.9794e+07
3.8625,3.5759e-06,2.0318e+07
3.8700,3.5705e-06,2.0691e+07
3.8775,3.5652e-06,1.9971e+07
3.8850,3.5598e-06,2.0297e+07
3.8925,3.5545e-06,1.9950e+07
3.9000,3.5491e-06,2.0640e+07
3.9075,3.5438e-06,1.9590e+07
3.9150,3.5385e-06,2.0622e+07
3.9225,3.5332e-06,2.0870e+07
3.9300,3.5279e-06,2.0714e+07
3.9375,3.5226e-06,1.9836e+07
3.9450,3.5173e-06,2.0634e+07
3.9525,3.5121e-06,1.9739e+07
3.9600,3.5068e-06,2.0178e+07
3.9675,3.5016e-06,2.0341e+07
3.9750,3.4963e-06,1.9983e+07
3.9825,3.4911e-06,1.9206e+07
3.9900,3.4859e-06,1.9775e+07
3.9975,3.4807e-06,1.9771e+07
4.0050,3.4755e-06,2.0168e+07
4.0125,3.4703e-06,1.9840e+07
4.0200,3.4651e-06,1.9253e+07
4.0275,3.4599e-06,1.9345e+07
4.0350,3.4548e-06,1.9158e+07
4.0425,3.4496e-06,1.9830e+07
4.0500,3.4445e-06,1.9643e+07
4.0575,3.4393e-06,1.9604e+07
4.0650,3.4342e-06,2.0262e+07
4.0725,3.4291e-06,1.9466e+07
4.0800,3.4240e-06,1.9009e+07
4.0875,3.4189e-06,2.0385e+07
4.0950,3.4138e-06,1.9364e+07
4.1025,3.4087e-06,1.9467e+07
4.1100,3.4036e-06,1.9135e+07
