station ID = gr (Granada)
system = VELETA
signal = 355, perpendicular, analog, dark-subtracted
date, time= 21.02.2022, 19UTC
range,E,N,S,W,channel
1665.0000,1.1987e+06,1.3534e+06,8.3377e+05,1.0357e+06,355xsa
1672.5000,1.2584e+06,1.3248e+06,8.4291e+05,1.0122e+06,355xsa
1680.0000,1.2043e+06,1.3758e+06,8.4303e+05,1.0468e+06,355xsa
1687.5000,1.2008e+06,1.3402e+06,8.1641e+05,1.0696e+06,355xsa
1695.0000,1.2631e+06,1.3508e+06,8.3420e+05,1.0607e+06,355xsa
1702.5000,1.2134e+06,1.3293e+06,8.5996e+05,1.0839e+06,355xsa
1710.0000,1.1773e+06,1.3486e+06,7.9938e+05,1.0429e+06,355xsa
1717.5000,1.2193e+06,1.3324e+06,8.2380e+05,1.0238e+06,355xsa
1725.0000,1.2095e+06,1.3287e+06,8.2214e+05,1.0360e+06,355xsa
1732.5000,1.2181e+06,1.3654e+06,8.2096e+05,1.0169e+06,355xsa
1740.0000,1.2293e+06,1.2419e+06,8.0911e+05,1.0511e+06,355xsa
1747.5000,1.2260e+06,1.2296e+06,8.0202e+05,1.0781e+06,355xsa
1755.0000,1.1888e+06,1.3285e+06,8.3595e+05,9.9700e+05,355xsa
1762.5000,1.1663e+06,1.2822e+06,8.1532e+05,1.0215e+06,355xsa
1770.0000,1.1468e+06,1.2483e+06,8.1792e+05,9.9139e+05,355xsa
1777.5000,1.2365e+06,1.2677e+06,8.2037e+05,1.0160e+06,355xsa
1785.0000,1.1629e+06,1.3226e+06,8.0669e+05,1.0517e+06,355xsa
1792.5000,1.2066e+06,1.3226e+06,7.8996e+05,9.5045e+05,355xsa
1800.0000,1.1926e+06,1.2927e+06,7.9494e+05,9.9937e+05,355xsa
1807.5000,1.1586e+06,1.3525e+06,8.0435e+05,1.0642e+06,355xsa
1815.0000,1.1486e+06,1.2867e+06,8.0054e+05,1.0069e+06,355xsa
1822.5000,1.1554e+06,1.2785e+06,7.6271e+05,9.8174e+05,355xsa
1830.0000,1.1364e+06,1.2566e+06,7.6718e+05,9.8427e+05,355xsa
1837.5000,1.1624e+06,1.2513e+06,7.8801e+05,9.6833e+05,355xsa
1845.0000,1.1924e+06,1.2712e+06,8.0911e+05,9.5249e+05,355xsa
1852.5000,1.1609e+06,1.2711e+06,7.4034e+05,9.9816e+05,355xsa
1860.0000,1.1312e+06,1.3456e+06,8.0743e+05,9.7695e+05,355xsa
1867.5000,1.1468e+06,1.2554e+06,7.5238e+05,9.7302e+05,355xsa
1875.0000,1.1648e+06,1.2651e+06,7.6654e+05,1.0229e+06,355xsa
1882.5000,1.1474e+06,1.3100e+06,8.2480e+05,1.0376e+06,355xsa
1890.0000,1.1025e+06,1.2402e+06,7.7970e+05,1.0194e+06,355xsa
1897.5000,1.1519e+06,1.2974e+06,7.9505e+05,9.8026e+05,355xsa
1905.0000,1.1454e+06,1.3131e+06,8.0331e+05,1.0051e+06,355xsa
1912.5000,1.1348e+06,1.2750e+06,7.9565e+05,1.0309e+06,355xsa
1920.0000,1.1700e+06,1.2942e+06,7.6879e+05,9.9377e+05,355xsa
1927.5000,1.1425e+06,1.2622e+06,8.0276e+05,9.6416e+05,355xsa
1935.0000,1.1014e+06,1.2847e+06,7.9722e+05,1.0237e+06,355xsa
1942.5000,1.1450e+06,1.2788e+06,7.9638e+05,1.0034e+06,355xsa
1950.0000,1.1268e+06,1.2358e+06,7.8527e+05,9.6940e+05,355xsa
1957.5000,1.1202e+06,1.2732e+06,7.8743e+05,9.2571e+05,355xsa
1965.0000,1.1291e+06,1.2860e+06,7.7751e+05,9.2719e+05,355xsa
1972.5000,1.1614e+06,1.2625e+06,7.6249e+05,9.6013e+05,355xsa
1980.0000,1.1246e+06,1.2340e+06,7.6033e+05,9.4379e+05,355xsa
1987.5000,1.1686e+06,1.2595e+06,7.6517e+05,9.4400e+05,355xsa
1995.0000,1.1252e+06,1.2499e+06,8.4621e+05,9.7136e+05,355xsa
2002.5000,1.1153e+06,1.2283e+06,8.2079e+05,9.5721e+05,355xsa
2010.0000,1.1426e+06,1.2496e+06,7.5931e+05,9.6631e+05,355xsa
2017.5000,1.1306e+06,1.2365e+06,7.4347e+05,1.0231e+06,355xsa
2025.0000,1.1571e+06,1.2001e+06,7.8000e+05,9.9857e+05,355xsa
2032.5000,1.0856e+06,1.2229e+06,7.8663e+05,9.8611e+05,355xsa
2040.0000,1.1268e+06,1.2212e+06,7.4055e+05,9.6702e+05,355xsa
2047.5000,1.1199e+06,1.2229e+06,7.7995e+05,9.9404e+05,355xsa
2055.0000,1.1674e+06,1.1977e+06,7.4675e+05,9.8530e+05,355xsa
2062.5000,1.0944e+06,1.2083e+06,8.0526e+05,9.3831e+05,355xsa
2070.0000,1.0682e+06,1.2382e+06,7.8703e+05,9.8725e+05,355xsa
2077.5000,1.1247e+06,1.1932e+06,7.6641e+05,9.4688e+05,355xsa
2085.0000,1.0969e+06,1.2245e+06,7.4942e+05,8.9392e+05,355xsa
2092.5000,1.0778e+06,1.2463e+06,7.9310e+05,9.3301e+05,355xsa
2100.0000,1.0579e+06,1.2415e+06,7.9596e+05,9.2357e+05,355xsa
2107.5000,1.0740e+06,1.1954e+06,7.2594e+05,9.5095e+05,355xsa
2115.0000,1.0592e+06,1.1871e+06,7.1490e+05,9.3408e+05,355xsa
2122.5000,1.0941e+06,1.2270e+06,7.8715e+05,8.9492e+05,355xsa
2130.0000,1.0779e+06,1.1534e+06,7.6905e+05,9.2785e+05,355xsa
2137.5000,1.0618e+06,1.1967e+06,7.4273e+05,9.6149e+05,355xsa
2145.0000,1.0887e+06,1.2751e+06,7.7664e+05,8.8764e+05,355xsa
2152.5000,1.0617e+06,1.2187e+06,7.3875e+05,8.9386e+05,355xsa
2160.0000,1.0722e+06,1.2584e+06,7.2983e+05,9.1970e+05,355xsa
2167.5000,1.0474e+06,1.2422e+06,7.3539e+05,9.2753e+05,355xsa
2175.0000,1.0473e+06,1.2080e+06,7.6966e+05,9.8542e+05,355xsa
2182.5000,1.0379e+06,1.2355e+06,7.2332e+05,9.2992e+05,355xsa
2190.0000,1.0796e+06,1.1368e+06,7.4667e+05,9.1048e+05,355xsa
2197.5000,1.0404e+06,1.1611e+06,8.1152e+05,8.7156e+05,355xsa
2205.0000,1.0521e+06,1.1923e+06,7.3601e+05,9.2646e+05,355xsa
2212.5000,1.0341e+06,1.1684e+06,7.1199e+05,9.4820e+05,355xsa
2220.0000,1.0947e+06,1.1793e+06,7.2969e+05,9.0153e+05,355xsa
2227.5000,1.0920e+06,1.1516e+06,7.6187e+05,9.4160e+05,355xsa
2235.0000,1.0644e+06,1.1560e+06,7.1994e+05,9.0038e+05,355xsa
2242.5000,1.0303e+06,1.1599e+06,7.1694e+05,9.3080e+05,355xsa
2250.0000,1.0096e+06,1.1784e+06,7.4319e+05,8.7047e+05,355xsa
2257.5000,1.0467e+06,1.1633e+06,7.6025e+05,9.2862e+05,355xsa
2265.0000,1.1039e+06,1.1794e+06,7.3714e+05,9.2436e+05,355xsa
2272.5000,1.0528e+06,1.1554e+06,7.2366e+05,9.1475e+05,355xsa
2280.0000,1.0164e+06,1.1759e+06,7.2686e+05,8.7270e+05,355xsa
2287.5000,1.0250e+06,1.1760e+06,7.3342e+05,9.6215e+05,355xsa
2295.0000,1.1105e+06,1.1725e+06,7.4020e+05,8.8957e+05,355xsa
2302.5000,1.1620e+06,1.1626e+06,7.9535e+05,9.1480e+05,355xsa
2310.0000,1.0625e+06,1.1899e+06,7.0271e+05,9.2981e+05,355xsa
2317.5000,1.0667e+06,1.1607e+06,7.3695e+05,9.2603e+05,355xsa
2325.0000,1.0567e+06,1.1878e+06,6.9941e+05,8.8716e+05,355xsa
2332.5000,1.0221e+06,1.1175e+06,7.3933e+05,9.6074e+05,355xsa
2340.0000,1.0333e+06,1.1585e+06,7.0197e+05,9.2350e+05,355xsa
2347.5000,1.0760e+06,1.1956e+06,7.2552e+05,9.6660e+05,355xsa
2355.0000,1.0124e+06,1.1264e+06,7.0855e+05,9.2486e+05,355xsa
2362.5000,1.0449e+06,1.1415e+06,6.9397e+05,8.9974e+05,355xsa
2370.0000,1.0491e+06,1.1939e+06,7.2332e+05,9.1840e+05,355xsa
2377.5000,1.0121e+06,1.2078e+06,7.0281e+05,8.7136e+05,355xsa
2385.0000,9.3848e+05,1.1737e+06,7.3347e+05,8.9729e+05,355xsa
2392.5000,1.0173e+06,1.1282e+06,7.3789e+05,9.0954e+05,355xsa
2400.0000,1.0128e+06,1.1388e+06,7.2750e+05,8.9027e+05,355xsa
2407.5000,9.8495e+05,1.1451e+06,7.0455e+05,8.7384e+05,355xsa
