station ID = gr (Granada)
system = VELETA
signal = 355, perpendicular, photoncounting, dark-subtracted
date, time= 21.02.2022, 19UTC
range,E,N,S,W,channel
1207.5000,4.0077e+07,4.4421e+07,2.9573e+07,3.8627e+07,355xsp
1215.0000,3.9151e+07,4.4107e+07,3.0022e+07,3.7713e+07,355xsp
1222.5000,3.9220e+07,4.3561e+07,2.8808e+07,3.8572e+07,355xsp
1230.0000,3.8996e+07,4.3795e+07,2.8873e+07,3.8344e+07,355xsp
1237.5000,3.8470e+07,4.3621e+07,2.9015e+07,3.8862e+07,355xsp
1245.0000,3.9383e+07,4.4180e+07,2.9299e+07,3.9480e+07,355xsp
1252.5000,3.7827e+07,4.3333e+07,2.8688e+07,3.7150e+07,355xsp
1260.0000,3.7627e+07,4.4237e+07,2.8629e+07,3.7775e+07,355xsp
1267.5000,3.7325e+07,4.2824e+07,2.8293e+07,3.9605e+07,355xsp
1275.0000,3.7736e+07,4.3673e+07,2.8762e+07,3.7258e+07,355xsp
1282.5000,3.8055e+07,4.3474e+07,2.7122e+07,3.6949e+07,355xsp
1290.0000,3.8322e+07,4.3922e+07,2.8084e+07,3.7065e+07,355xsp
1297.5000,3.8540e+07,4.3397e+07,2.7935e+07,3.6703e+07,355xsp
1305.0000,3.8316e+07,4.2706e+07,2.7014e+07,3.7556e+07,355xsp
1312.5000,3.8523e+07,4.3754e+07,2.8383e+07,3.6297e+07,355xsp
1320.0000,3.7615e+07,4.3267e+07,2.7749e+07,3.6106e+07,355xsp
1327.5000,3.8167e+07,4.3104e+07,2.7921e+07,3.5994e+07,355xsp
1335.0000,3.7569e+07,4.2310e+07,2.7686e+07,3.5886e+07,355xsp
1342.5000,3.7654e+07,4.1174e+07,2.6884e+07,3.7038e+07,355xsp
1350.0000,3.7876e+07,4.1332e+07,2.7410e+07,3.5292e+07,355xsp
1357.5000,3.7874e+07,4.2913e+07,2.7811e+07,3.6053e+07,355xsp
1365.0000,3.7614e+07,4.3364e+07,2.6810e+07,3.5561e+07,355xsp
1372.5000,3.6756e+07,4.0979e+07,2.6180e+07,3.6519e+07,355xsp
1380.0000,3.7056e+07,4.1654e+07,2.7088e+07,3.4953e+07,355xsp
1387.5000,3.7102e+07,4.1427e+07,2.6578e+07,3.5843e+07,355xsp
1395.0000,3.6032e+07,4.2524e+07,2.6639e+07,3.6381e+07,355xsp
1402.5000,3.6019e+07,4.1441e+07,2.6469e+07,3.5288e+07,355xsp
1410.0000,3.5195e+07,4.1187e+07,2.6195e+07,3.4707e+07,355xsp
1417.5000,3.6059e+07,4.1586e+07,2.8085e+07,3.5690e+07,355xsp
1425.0000,3.5258e+07,4.1077e+07,2.6946e+07,3.5793e+07,355xsp
1432.5000,3.5100e+07,4.0586e+07,2.6091e+07,3.5179e+07,355xsp
1440.0000,3.4663e+07,4.1471e+07,2.6311e+07,3.5038e+07,355xsp
1447.5000,3.6340e+07,4.1564e+07,2.5897e+07,3.4608e+07,355xsp
1455.0000,3.6277e+07,3.9769e+07,2.6269e+07,3.6024e+07,355xsp
1462.5000,3.4904e+07,3.9590e+07,2.6192e+07,3.5023e+07,355xsp
1470.0000,3.5473e+07,4.1502e+07,2.6117e+07,3.5508e+07,355xsp
1477.5000,3.5855e+07,4.0232e+07,2.6004e+07,3.4900e+07,355xsp
1485.0000,3.6006e+07,4.0918e+07,2.5825e+07,3.4698e+07,355xsp
1492.5000,3.4971e+07,4.0795e+07,2.4931e+07,3.4948e+07,355xsp
1500.0000,3.5309e+07,3.9685e+07,2.5595e+07,3.3670e+07,355xsp
1507.5000,3.5663e+07,3.9320e+07,2.4921e+07,3.5482e+07,355xsp
1515.0000,3.5275e+07,3.9052e+07,2.5717e+07,3.3927e+07,355xsp
1522.5000,3.5476e+07,3.8476e+07,2.5276e+07,3.4113e+07,355xsp
1530.0000,3.4820e+07,3.9533e+07,2.5939e+07,3.4658e+07,355xsp
1537.5000,3.5420e+07,4.0096e+07,2.5789e+07,3.4230e+07,355xsp
1545.0000,3.4706e+07,3.9253e+07,2.5368e+07,3.5105e+07,355xsp
1552.5000,3.4008e+07,4.0007e+07,2.5529e+07,3.2955e+07,355xsp
1560.0000,3.4503e+07,3.8412e+07,2.6246e+07,3.3200e+07,355xsp
1567.5000,3.5126e+07,4.0263e+07,2.5642e+07,3.3215e+07,355xsp
1575.0000,3.4433e+07,3.9248e+07,2.5130e+07,3.4526e+07,355xsp
1582.5000,3.4455e+07,3.9553e+07,2.5282e+07,3.3852e+07,355xsp
1590.0000,3.4713e+07,3.9424e+07,2.5643e+07,3.3151e+07,355xsp
1597.5000,3.4080e+07,3.8942e+07,2.5200e+07,3.2491e+07,355xsp
1605.0000,3.4316e+07,3.8401e+07,2.5024e+07,3.2803e+07,355xsp
1612.5000,3.4947e+07,3.9731e+07,2.5285e+07,3.2505e+07,355xsp
1620.0000,3.4457e+07,3.8971e+07,2.5525e+07,3.3358e+07,355xsp
1627.5000,3.4585e+07,3.9047e+07,2.4096e+07,3.3034e+07,355xsp
1635.0000,3.4460e+07,3.8531e+07,2.5490e+07,3.4546e+07,355xsp
1642.5000,3.4771e+07,3.9284e+07,2.5113e+07,3.3127e+07,355xsp
1650.0000,3.3851e+07,3.9146e+07,2.4695e+07,3.2251e+07,355xsp
1657.5000,3.3959e+07,3.7339e+07,2.4384e+07,3.2987e+07,355xsp
1665.0000,3.4111e+07,3.9940e+07,2.4803e+07,3.2890e+07,355xsp
1672.5000,3.4796e+07,3.8754e+07,2.5379e+07,3.2223e+07,355xsp
1680.0000,3.4577e+07,3.5425e+07,2.4267e+07,3.4235e+07,355xsp
1687.5000,3.4767e+07,3.6739e+07,2.4366e+07,3.2311e+07,355xsp
1695.0000,3.3653e+07,3.8152e+07,2.5347e+07,3.2578e+07,355xsp
