station ID = gr (Granada)
system = VELETA
signal = 387, total, analog, dark-subtracted
date, time= 21.02.2022, 19UTC
range,E,N,S,W,channel
2100.0000,-1.7929e+00,-8.5911e-01,-1.9050e+00,-2.2412e+00,387xta
2107.5000,-1.8058e+00,-8.6526e-01,-1.9186e+00,-2.2572e+00,387xta
2115.0000,-1.8186e+00,-8.7143e-01,-1.9323e+00,-2.2733e+00,387xta
2122.5000,-1.8316e+00,-8.7762e-01,-1.9460e+00,-2.2894e+00,387xta
2130.0000,-1.8445e+00,-8.8383e-01,-1.9598e+00,-2.3057e+00,387xta
2137.5000,-1.8575e+00,-8.9007e-01,-1.9736e+00,-2.3219e+00,387xta
2145.0000,-1.8706e+00,-8.9633e-01,-1.9875e+00,-2.3382e+00,387xta
2152.5000,-1.8837e+00,-9.0260e-01,-2.0014e+00,-2.3546e+00,387xta
2160.0000,-1.8968e+00,-9.0891e-01,-2.0154e+00,-2.3711e+00,387xta
2167.5000,-1.9100e+00,-9.1523e-01,-2.0294e+00,-2.3876e+00,387xta
2175.0000,-1.9233e+00,-9.2157e-01,-2.0435e+00,-2.4041e+00,387xta
2182.5000,-1.9366e+00,-9.2794e-01,-2.0576e+00,-2.4207e+00,387xta
2190.0000,-1.9499e+00,-9.3433e-01,-2.0718e+00,-2.4374e+00,387xta
2197.5000,-1.9633e+00,-9.4074e-01,-2.0860e+00,-2.4541e+00,387xta
2205.0000,-1.9767e+00,-9.4717e-01,-2.1002e+00,-2.4709e+00,387xta
2212.5000,-1.9902e+00,-9.5363e-01,-2.1146e+00,-2.4877e+00,387xta
2220.0000,-2.0037e+00,-9.6010e-01,-2.1289e+00,-2.5046e+00,387xta
2227.5000,-2.0173e+00,-9.6660e-01,-2.1433e+00,-2.5216e+00,387xta
2235.0000,-2.0309e+00,-9.7312e-01,-2.1578e+00,-2.5386e+00,387xta
2242.5000,-2.0445e+00,-9.7966e-01,-2.1723e+00,-2.5556e+00,387xta
2250.0000,-2.0582e+00,-9.8623e-01,-2.1868e+00,-2.5728e+00,387xta
2257.5000,-2.0720e+00,-9.9281e-01,-2.2015e+00,-2.5899e+00,387xta
