station ID = gr (Granada)
system = VELETA
signal = 355, parallel, photoncounting, dark-subtracted
date, time= 21.02.2022, 19UTC
range,E,N,S,W,channel
1860.0000,2.6609e+07,2.3397e+07,2.5427e+07,2.9556e+07,355xpp
1867.5000,2.5329e+07,2.3297e+07,2.4959e+07,3.0019e+07,355xpp
1875.0000,2.5739e+07,2.4409e+07,2.5102e+07,3.1028e+07,355xpp
1882.5000,2.5575e+07,2.3825e+07,2.4450e+07,3.1487e+07,355xpp
1890.0000,2.6347e+07,2.4237e+07,2.4582e+07,3.0219e+07,355xpp
1897.5000,2.5602e+07,2.4534e+07,2.4272e+07,3.0079e+07,355xpp
1905.0000,2.5718e+07,2.3672e+07,2.3726e+07,2.8002e+07,355xpp
1912.5000,2.4596e+07,2.3410e+07,2.4572e+07,3.0207e+07,355xpp
1920.0000,2.5715e+07,2.4393e+07,2.3561e+07,2.9725e+07,355xpp
1927.5000,2.5288e+07,2.3303e+07,2.4222e+07,2.9590e+07,355xpp
1935.0000,2.5485e+07,2.3400e+07,2.4085e+07,2.9223e+07,355xpp
1942.5000,2.4933e+07,2.3736e+07,2.4469e+07,2.9211e+07,355xpp
1950.0000,2.3818e+07,2.5160e+07,2.4728e+07,3.0418e+07,355xpp
1957.5000,2.5388e+07,2.3745e+07,2.3379e+07,2.9072e+07,355xpp
1965.0000,2.5426e+07,2.4017e+07,2.4319e+07,2.8936e+07,355xpp
1972.5000,2.4916e+07,2.3433e+07,2.4438e+07,2.8674e+07,355xpp
1980.0000,2.3919e+07,2.3229e+07,2.4304e+07,3.0250e+07,355xpp
1987.5000,2.3756e+07,2.5936e+07,2.3754e+07,2.8857e+07,355xpp
1995.0000,2.5394e+07,2.5195e+07,2.3749e+07,3.0241e+07,355xpp
2002.5000,2.4723e+07,2.3987e+07,2.4720e+07,2.7792e+07,355xpp
2010.0000,2.4062e+07,2.3466e+07,2.3826e+07,3.0628e+07,355xpp
2017.5000,2.3346e+07,2.3452e+07,2.3602e+07,2.9041e+07,355xpp
2025.0000,2.2450e+07,2.3649e+07,2.3945e+07,2.8538e+07,355xpp
2032.5000,2.4486e+07,2.1626e+07,2.2974e+07,2.7544e+07,355xpp
2040.0000,2.5879e+07,2.4025e+07,2.2685e+07,2.9354e+07,355xpp
2047.5000,2.4435e+07,2.3207e+07,2.3848e+07,2.7290e+07,355xpp
2055.0000,2.3808e+07,2.2181e+07,2.3191e+07,2.9866e+07,355xpp
2062.5000,2.4028e+07,2.3155e+07,2.4667e+07,2.7620e+07,355xpp
2070.0000,2.4750e+07,2.3794e+07,2.2293e+07,2.9345e+07,355xpp
2077.5000,2.4005e+07,2.4817e+07,2.2679e+07,2.7267e+07,355xpp
2085.0000,2.5261e+07,2.3059e+07,2.1814e+07,2.9240e+07,355xpp
2092.5000,2.5088e+07,2.4541e+07,2.4554e+07,2.9963e+07,355xpp
2100.0000,2.3353e+07,2.1763e+07,2.3861e+07,2.9223e+07,355xpp
2107.5000,2.4885e+07,2.3200e+07,2.1777e+07,2.9043e+07,355xpp
2115.0000,2.3121e+07,2.3213e+07,2.3559e+07,2.8789e+07,355xpp
2122.5000,2.3314e+07,2.3143e+07,2.2116e+07,2.8120e+07,355xpp
2130.0000,2.3213e+07,2.3698e+07,2.3002e+07,2.8614e+07,355xpp
2137.5000,2.3404e+07,2.2576e+07,2.3849e+07,2.7779e+07,355xpp
2145.0000,2.4312e+07,2.2549e+07,2.4019e+07,2.6903e+07,355xpp
2152.5000,2.5129e+07,2.3722e+07,2.3651e+07,2.8651e+07,355xpp
2160.0000,2.4197e+07,2.3082e+07,2.5141e+07,2.6931e+07,355xpp
2167.5000,2.3632e+07,2.2407e+07,2.3576e+07,2.7389e+07,355xpp
2175.0000,2.1835e+07,2.3404e+07,2.3602e+07,2.8240e+07,355xpp
2182.5000,2.3360e+07,2.3949e+07,2.2970e+07,2.7658e+07,355xpp
2190.0000,2.2109e+07,2.2041e+07,2.3265e+07,2.7736e+07,355xpp
2197.5000,2.4095e+07,2.2528e+07,2.4316e+07,2.6529e+07,355xpp
2205.0000,2.3674e+07,2.2428e+07,2.4033e+07,2.6739e+07,355xpp
2212.5000,2.4595e+07,2.2695e+07,2.2619e+07,2.8908e+07,355xpp
2220.0000,2.2350e+07,2.1716e+07,2.3679e+07,2.9617e+07,355xpp
2227.5000,2.3157e+07,2.2574e+07,2.3327e+07,2.8438e+07,355xpp
2235.0000,2.3486e+07,2.1980e+07,2.2830e+07,2.8689e+07,355xpp
2242.5000,2.4716e+07,2.2649e+07,2.4540e+07,2.9551e+07,355xpp
2250.0000,2.4765e+07,2.3124e+07,2.3453e+07,2.7578e+07,355xpp
2257.5000,2.2732e+07,2.3714e+07,2.4227e+07,2.9000e+07,355xpp
2265.0000,2.4327e+07,2.2664e+07,2.1937e+07,2.8008e+07,355xpp
2272.5000,2.2589e+07,2.2874e+07,2.1313e+07,2.9478e+07,355xpp
2280.0000,2.2890e+07,2.2373e+07,2.0116e+07,2.6485e+07,355xpp
2287.5000,2.3822e+07,2.2726e+07,2.3517e+07,2.7125e+07,355xpp
2295.0000,2.2979e+07,2.0432e+07,2.3792e+07,2.8295e+07,355xpp
2302.5000,2.3038e+07,2.1657e+07,2.2457e+07,2.6154e+07,355xpp
2310.0000,2.5582e+07,2.2717e+07,2.2634e+07,2.6048e+07,355xpp
2317.5000,2.5963e+07,2.2032e+07,2.2535e+07,2.6497e+07,355xpp
2325.0000,2.2996e+07,2.2243e+07,2.3705e+07,2.5926e+07,355xpp
2332.5000,2.2894e+07,2.0453e+07,2.2609e+07,2.7406e+07,355xpp
2340.0000,2.3263e+07,2.2056e+07,2.3164e+07,2.8314e+07,355xpp
2347.5000,2.5056e+07,2.2070e+07,2.3344e+07,2.5251e+07,355xpp
2355.0000,2.3209e+07,2.0913e+07,2.2222e+07,2.6753e+07,355xpp
2362.5000,2.4029e+07,2.1941e+07,2.2755e+07,2.5768e+07,355xpp
2370.0000,2.3474e+07,2.1373e+07,2.2992e+07,2.5418e+07,355xpp
2377.5000,2.3331e+07,2.1087e+07,2.1905e+07,2.8084e+07,355xpp
2385.0000,2.3838e+07,2.1709e+07,2.2338e+07,2.6491e+07,355xpp
2392.5000,2.2610e+07,2.2208e+07,2.2968e+07,2.6167e+07,355xpp
2400.0000,2.4106e+07,2.0241e+07,2.1664e+07,2.7457e+07,355xpp
2407.5000,2.2136e+07,2.1591e+07,2.2428e+07,2.6035e+07,355xpp
