station ID = gr (Granada)
system = KASCAL
signal = 355, perpendicular, analog, unknown
date of measurement, time, duration of measurement= 07.04.2018, 02UTC, 3600.0 s
location, WMO radiosonde station ID, date of radiosonde = Granada, ecmwf, 07.04.2018, 02UTC
lower and upper Rayleigh height limits = 5, 10
range,attnRayleighBSC,RangeCorrectedSignal
2.0250,5.2380e-06,2.8991e+05
2.0325,5.2295e-06,2.8364e+05
2.0400,5.2210e-06,2.7864e+05
2.0475,5.2126e-06,2.8307e+05
2.0550,5.2042e-06,2.8360e+05
2.0625,5.1958e-06,2.8122e+05
2.0700,5.1874e-06,2.7888e+05
2.0775,5.1791e-06,2.7442e+05
2.0850,5.1707e-06,2.7583e+05
2.0925,5.1624e-06,2.8353e+05
2.1000,5.1541e-06,2.7523e+05
2.1075,5.1458e-06,2.7778e+05
2.1150,5.1375e-06,2.8562e+05
2.1225,5.1292e-06,2.8295e+05
2.1300,5.1210e-06,2.8088e+05
2.1375,5.1127e-06,2.7530e+05
2.1450,5.1045e-06,2.7060e+05
2.1525,5.0963e-06,2.7181e+05
2.1600,5.0881e-06,2.7725e+05
2.1675,5.0799e-06,2.7008e+05
2.1750,5.0718e-06,2.6518e+05
2.1825,5.0636e-06,2.7342e+05
2.1900,5.0555e-06,2.7325e+05
2.1975,5.0474e-06,2.6667e+05
2.2050,5.0393e-06,2.7001e+05
2.2125,5.0312e-06,2.6235e+05
2.2200,5.0231e-06,2.6523e+05
2.2275,5.0151e-06,2.7213e+05
2.2350,5.0071e-06,2.6739e+05
2.2425,4.9990e-06,2.6118e+05
2.2500,4.9910e-06,2.6616e+05
2.2575,4.9831e-06,2.6255e+05
2.2650,4.9751e-06,2.6023e+05
2.2725,4.9671e-06,2.6008e+05
2.2800,4.9592e-06,2.5662e+05
2.2875,4.9513e-06,2.5881e+05
2.2950,4.9433e-06,2.5910e+05
2.3025,4.9355e-06,2.5710e+05
2.3100,4.9276e-06,2.5533e+05
2.3175,4.9197e-06,2.5680e+05
2.3250,4.9119e-06,2.5399e+05
2.3325,4.9040e-06,2.5586e+05
2.3400,4.8962e-06,2.4733e+05
2.3475,4.8884e-06,2.4698e+05
2.3550,4.8806e-06,2.5340e+05
2.3625,4.8728e-06,2.5601e+05
2.3700,4.8651e-06,2.4919e+05
2.3775,4.8573e-06,2.4519e+05
2.3850,4.8496e-06,2.4685e+05
2.3925,4.8419e-06,2.5188e+05
2.4000,4.8342e-06,2.5054e+05
2.4075,4.8265e-06,2.3871e+05
2.4150,4.8188e-06,2.4059e+05
2.4225,4.8111e-06,2.4703e+05
2.4300,4.8035e-06,2.4685e+05
2.4375,4.7959e-06,2.5035e+05
2.4450,4.7882e-06,2.4305e+05
2.4525,4.7806e-06,2.4263e+05
2.4600,4.7731e-06,2.4515e+05
2.4675,4.7655e-06,2.4425e+05
2.4750,4.7579e-06,2.4352e+05
2.4825,4.7504e-06,2.3922e+05
2.4900,4.7429e-06,2.4650e+05
2.4975,4.7353e-06,2.5263e+05
2.5050,4.7278e-06,2.4937e+05
2.5125,4.7204e-06,2.5334e+05
2.5200,4.7129e-06,2.5024e+05
2.5275,4.7054e-06,2.5114e+05
2.5350,4.6980e-06,2.5475e+05
2.5425,4.6906e-06,2.4713e+05
2.5500,4.6831e-06,2.5169e+05
2.5575,4.6757e-06,2.5548e+05
2.5650,4.6683e-06,2.4786e+05
2.5725,4.6610e-06,2.4474e+05
2.5800,4.6536e-06,2.4816e+05
2.5875,4.6463e-06,2.4647e+05
2.5950,4.6389e-06,2.4759e+05
2.6025,4.6316e-06,2.4599e+05
2.6100,4.6243e-06,2.4178e+05
2.6175,4.6170e-06,2.4675e+05
2.6250,4.6097e-06,2.5290e+05
2.6325,4.6025e-06,2.4352e+05
2.6400,4.5952e-06,2.4000e+05
2.6475,4.5880e-06,2.4281e+05
2.6550,4.5808e-06,2.4484e+05
2.6625,4.5736e-06,2.4181e+05
2.6700,4.5664e-06,2.3502e+05
2.6775,4.5592e-06,2.3232e+05
2.6850,4.5520e-06,2.3363e+05
2.6925,4.5449e-06,2.3731e+05
2.7000,4.5377e-06,2.3376e+05
2.7075,4.5306e-06,2.2473e+05
2.7150,4.5235e-06,2.2837e+05
2.7225,4.5164e-06,2.2748e+05
2.7300,4.5093e-06,2.3094e+05
2.7375,4.5022e-06,2.2489e+05
2.7450,4.4951e-06,2.1995e+05
2.7525,4.4881e-06,2.2021e+05
2.7600,4.4811e-06,2.2539e+05
2.7675,4.4740e-06,2.2062e+05
2.7750,4.4670e-06,2.0856e+05
2.7825,4.4600e-06,2.1121e+05
2.7900,4.4531e-06,2.1969e+05
2.7975,4.4461e-06,2.1491e+05
2.8050,4.4391e-06,2.1509e+05
2.8125,4.4322e-06,2.1429e+05
2.8200,4.4253e-06,2.1350e+05
2.8275,4.4183e-06,2.2129e+05
2.8350,4.4114e-06,2.2720e+05
2.8425,4.4045e-06,2.1491e+05
2.8500,4.3977e-06,2.1537e+05
2.8575,4.3908e-06,2.1693e+05
2.8650,4.3839e-06,2.1527e+05
2.8725,4.3771e-06,2.2241e+05
2.8800,4.3703e-06,2.2098e+05
2.8875,4.3635e-06,2.1559e+05
2.8950,4.3566e-06,2.1743e+05
2.9025,4.3499e-06,2.1864e+05
2.9100,4.3431e-06,2.2122e+05
2.9175,4.3363e-06,2.1708e+05
2.9250,4.3296e-06,2.2341e+05
2.9325,4.3228e-06,2.3187e+05
2.9400,4.3161e-06,2.1345e+05
2.9475,4.3094e-06,2.1631e+05
2.9550,4.3027e-06,2.2011e+05
2.9625,4.2960e-06,2.1914e+05
2.9700,4.2893e-06,2.3028e+05
2.9775,4.2826e-06,2.2452e+05
2.9850,4.2760e-06,2.1566e+05
2.9925,4.2694e-06,2.2339e+05
3.0000,4.2627e-06,2.3166e+05
3.0075,4.2561e-06,2.2561e+05
3.0150,4.2495e-06,2.2382e+05
3.0225,4.2429e-06,2.2355e+05
3.0300,4.2363e-06,2.2444e+05
3.0375,4.2298e-06,2.2149e+05
3.0450,4.2232e-06,2.2465e+05
3.0525,4.2167e-06,2.2373e+05
3.0600,4.2101e-06,2.2959e+05
3.0675,4.2036e-06,2.2987e+05
3.0750,4.1971e-06,2.2224e+05
3.0825,4.1906e-06,2.2241e+05
3.0900,4.1841e-06,2.2880e+05
3.0975,4.1777e-06,2.2394e+05
3.1050,4.1712e-06,2.2092e+05
3.1125,4.1648e-06,2.2046e+05
3.1200,4.1583e-06,2.2705e+05
3.1275,4.1519e-06,2.2161e+05
3.1350,4.1455e-06,2.1735e+05
3.1425,4.1391e-06,2.2689e+05
3.1500,4.1327e-06,2.1956e+05
3.1575,4.1263e-06,2.1659e+05
3.1650,4.1200e-06,2.2539e+05
3.1725,4.1136e-06,2.1991e+05
3.1800,4.1073e-06,2.1674e+05
3.1875,4.1009e-06,2.1489e+05
3.1950,4.0946e-06,2.1536e+05
3.2025,4.0883e-06,2.1096e+05
3.2100,4.0820e-06,2.0946e+05
3.2175,4.0757e-06,2.0801e+05
3.2250,4.0695e-06,2.1032e+05
3.2325,4.0632e-06,2.1657e+05
3.2400,4.0569e-06,2.1753e+05
3.2475,4.0507e-06,2.1405e+05
3.2550,4.0445e-06,2.0934e+05
3.2625,4.0383e-06,2.1291e+05
3.2700,4.0321e-06,2.1988e+05
3.2775,4.0259e-06,2.0930e+05
3.2850,4.0197e-06,1.9724e+05
3.2925,4.0135e-06,2.1201e+05
3.3000,4.0074e-06,2.1461e+05
3.3075,4.0012e-06,2.0425e+05
3.3150,3.9951e-06,2.1110e+05
3.3225,3.9890e-06,2.1251e+05
3.3300,3.9828e-06,2.1794e+05
3.3375,3.9767e-06,2.1474e+05
3.3450,3.9706e-06,1.9684e+05
3.3525,3.9646e-06,1.9383e+05
3.3600,3.9585e-06,2.0204e+05
3.3675,3.9524e-06,2.0279e+05
3.3750,3.9464e-06,1.9206e+05
3.3825,3.9404e-06,1.9690e+05
3.3900,3.9343e-06,2.0364e+05
3.3975,3.9283e-06,2.0518e+05
3.4050,3.9223e-06,1.9328e+05
3.4125,3.9163e-06,1.9542e+05
3.4200,3.9103e-06,1.9371e+05
3.4275,3.9044e-06,1.8936e+05
3.4350,3.8984e-06,1.9941e+05
3.4425,3.8925e-06,1.9655e+05
3.4500,3.8865e-06,1.9695e+05
3.4575,3.8806e-06,1.8496e+05
3.4650,3.8747e-06,1.9034e+05
3.4725,3.8688e-06,1.8885e+05
3.4800,3.8629e-06,1.7774e+05
3.4875,3.8570e-06,1.9170e+05
3.4950,3.8511e-06,2.0347e+05
3.5025,3.8453e-06,1.9102e+05
3.5100,3.8394e-06,1.8019e+05
3.5175,3.8336e-06,1.7903e+05
3.5250,3.8277e-06,1.9365e+05
3.5325,3.8219e-06,2.0143e+05
3.5400,3.8161e-06,1.8734e+05
3.5475,3.8103e-06,1.7955e+05
3.5550,3.8045e-06,1.8046e+05
3.5625,3.7987e-06,1.8866e+05
3.5700,3.7930e-06,1.8839e+05
3.5775,3.7872e-06,1.8065e+05
3.5850,3.7815e-06,1.7463e+05
3.5925,3.7757e-06,1.8157e+05
3.6000,3.7700e-06,1.8919e+05
3.6075,3.7643e-06,1.8268e+05
3.6150,3.7586e-06,1.6260e+05
3.6225,3.7529e-06,1.7841e+05
3.6300,3.7472e-06,1.8777e+05
3.6375,3.7415e-06,1.7531e+05
3.6450,3.7358e-06,1.7698e+05
3.6525,3.7302e-06,1.7752e+05
3.6600,3.7245e-06,1.8886e+05
3.6675,3.7189e-06,1.9111e+05
3.6750,3.7133e-06,1.8469e+05
3.6825,3.7077e-06,1.7537e+05
3.6900,3.7021e-06,1.7726e+05
3.6975,3.6965e-06,1.9070e+05
3.7050,3.6909e-06,1.7845e+05
3.7125,3.6853e-06,1.7281e+05
3.7200,3.6797e-06,1.7715e+05
3.7275,3.6742e-06,1.8833e+05
3.7350,3.6686e-06,1.7634e+05
3.7425,3.6631e-06,1.7301e+05
3.7500,3.6576e-06,1.7940e+05
3.7575,3.6521e-06,1.7136e+05
3.7650,3.6466e-06,1.8389e+05
3.7725,3.6411e-06,1.7511e+05
3.7800,3.6356e-06,1.6331e+05
3.7875,3.6301e-06,1.6649e+05
3.7950,3.6246e-06,1.8026e+05
3.8025,3.6192e-06,1.8431e+05
3.8100,3.6137e-06,1.6737e+05
3.8175,3.6083e-06,1.6669e+05
3.8250,3.6029e-06,1.7994e+05
3.8325,3.5975e-06,1.7956e+05
3.8400,3.5921e-06,1.7397e+05
3.8475,3.5867e-06,1.6303e+05
3.8550,3.5813e-06,1.6315e+05
3.8625,3.5759e-06,1.7556e+05
3.8700,3.5705e-06,1.6982e+05
3.8775,3.5652e-06,1.6632e+05
3.8850,3.5598e-06,1.6119e+05
3.8925,3.5545e-06,1.6439e+05
3.9000,3.5491e-06,1.6849e+05
3.9075,3.5438e-06,1.5323e+05
3.9150,3.5385e-06,1.5366e+05
3.9225,3.5332e-06,1.5590e+05
3.9300,3.5279e-06,1.5211e+05
3.9375,3.5226e-06,1.7129e+05
3.9450,3.5173e-06,1.5927e+05
3.9525,3.5121e-06,1.5268e+05
3.9600,3.5068e-06,1.7386e+05
3.9675,3.5016e-06,1.7436e+05
3.9750,3.4963e-06,1.5637e+05
3.9825,3.4911e-06,1.6455e+05
3.9900,3.4859e-06,1.7188e+05
3.9975,3.4807e-06,1.6783e+05
4.0050,3.4755e-06,1.5966e+05
4.0125,3.4703e-06,1.5968e+05
4.0200,3.4651e-06,1.6559e+05
4.0275,3.4599e-06,1.7550e+05
4.0350,3.4548e-06,1.6608e+05
4.0425,3.4496e-06,1.6644e+05
4.0500,3.4445e-06,1.5822e+05
4.0575,3.4393e-06,1.5566e+05
4.0650,3.4342e-06,1.7684e+05
4.0725,3.4291e-06,1.6797e+05
4.0800,3.4240e-06,1.5056e+05
4.0875,3.4189e-06,1.5154e+05
4.0950,3.4138e-06,1.5261e+05
4.1025,3.4087e-06,1.5401e+05
4.1100,3.4036e-06,1.4851e+05
4.1175,3.3986e-06,1.3987e+05
4.1250,3.3935e-06,1.3731e+05
4.1325,3.3885e-06,1.5833e+05
4.1400,3.3834e-06,1.6193e+05
4.1475,3.3784e-06,1.3665e+05
